Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
"""Sweetgreen""","""Sweetgreen Hot Sauce""","""1 serving ( 28 g )""",10,0,0,0,0,0,170,2,1,1,1,,,,
"""Sweetgreen""","""Toasted Almonds""","""1 serving ( 14 g )""",80,63,7,1,0,0,0,3,2,0,3,,,,
"""Sweetgreen""","""Toasted Buckwheat""","""1 serving ( 5 g )""",5,0,0,0,0,0,0,4,0,0,1,,,,
"""Sweetgreen""","""Tomatoes""","""1 serving ( 46 g )""",10,0,0,0,0,0,0,2,0,1,0,,,,
"""Sweetgreen""","""Tortilla Chips""","""1 serving ( 16 g )""",80,36,4,1,0,0,15,11,0,0,1,,,,
"""Sweetgreen""","""Walnuts""","""1 serving ( 12 g )""",70,63,7,0,0,0,0,1,1,0,0,,,,
"""Sweetgreen""","""Warm Portobello Mix""","""1 serving ( 65 g )""",70,36,4,1,0,0,270,4,1,2,3,,,,
"""Sweetgreen""","""Warm Quinoa""","""1 serving ( 100 g )""",120,27,3,0,0,0,90,29,3,0,6,,,,
"""Sweetgreen""","""White Tea Peach (LA Only)""","""1 serving ( 475 g )""",0,0,0,0,0,0,20,0,0,0,0,,,,
"""Sweetgreen""","""Whole Wheat Bread (BOS)""","""1 serving ( 34 g )""",80,0,0,0,0,0,200,18,3,0,3,,,,
"""Sweetgreen""","""Whole Wheat Bread (CHI)""","""1 serving ( 34 g )""",80,9,1,0,0,0,190,20,2,1,4,,,,
"""Sweetgreen""","""Whole Wheat Bread (DMV)""","""1 serving ( 40 g )""",80,0,0,0,0,0,170,16,2,0,3,,,,
"""Sweetgreen""","""Whole Wheat Bread (LA)""","""1 serving ( 34 g )""",80,9,1,0,0,0,190,20,2,1,4,,,,
"""Sweetgreen""","""Whole Wheat Bread (NY)""","""1 serving ( 34 g )""",80,9,1,0,0,0,190,20,2,1,4,,,,
"""Sweetgreen""","""Whole Wheat Bread (PHL)""","""1 serving ( 40 g )""",80,0,0,0,0,0,170,16,2,0,3,,,,
"""Sweetgreen""","""Whole Wheat Bread (SF)""","""1 serving ( 34 g )""",80,0,0,0,0,0,200,18,3,0,3,,,,
"""Sweetgreen""","""Za'atar Bread Crumbs""","""1 serving ( 15 g )""",45,18,2,0,0,0,160,8,0,0,2,,,,
"""Pret A Manger US""","""Almond Butter & Banana Energy Bagel""","""1 bagel ( 216 g )""",590,198,22,1.5,,,220,86,14,23,19,,,,
"""Pret A Manger US""","""Almond Croissant""","""1 croissant ( 100 g )""",370,189,21,11,,,220,39,3,13,8,,,,
"""Pret A Manger US""","""Almond Matcha Latte""","""1 serving ( 340 g )""",110,63,7,0,,,270,11,2,8,3,,,,
"""Pret A Manger US""","""Almond Turmeric Latte""","""1 serving ( None g )""",170,45,5,0,,,210,30,2,25,2,,,,
"""Pret A Manger US""","""Americano""","""12 oz ( 340 g )""",5,0,0,0,,,0,0,0,0,0,,,,
"""Pret A Manger US""","""Artichoke Caprese Artisan Baguette""","""1 sandwich ( 294 g )""",580,243,27,8,,,1360,67,5,2,23,,,,
"""Pret A Manger US""","""Avocado & Roasted Corn Salsa Flatbread""","""1 wrap ( 217 g )""",410,207,23,3.5,,,530,49,18,6,17,,,,
"""Pret A Manger US""","""Avocado & Toasted Pine Nut Wrap""","""1 wrap ( 224 g )""",500,270,30,4.5,,,440,49,10,3,13,,,,
"""Pret A Manger US""","""Avocado Smash""","""1 serving ( 149 g )""",320,153,17,2.5,,,210,37,9,2,7,,,,
"""Pret A Manger US""","""Balsamic Chicken & Avocado Sandwich""","""1 sandwich ( 242 g )""",480,225,25,3,,,550,41,8,5,23,,,,
"""Pret A Manger US""","""Balsamic Vinaigrette""","""1 serving ( 28 g )""",140,135,15,1,,,150,2,0,2,0,,,,
